NF Número;Série;Mod;Data;CFOP;;Cliente;;Total Nota;ICMS
183552;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;62,2;0
183553;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;10,39;0
183554;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;59,56;0
183555;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;59,17;0
183556;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;193,19;0
183557;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;106,4;0
183558;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;114,85;0
183559;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;31;0
183560;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;10,99;0
183561;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;172,62;0
183562;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;41,86;0
183563;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;20,99;0
183564;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;37,66;0
183565;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;80,55;0
183566;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;45,99;0
183567;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;108,74;0
183568;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;53,49;0
183569;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;42,66;0
183570;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;13,56;0
183571;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;129,22;0
183572;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;102,21;0
183573;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;277,06;0
183574;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;45,63;0
183575;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;191,06;0
183576;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;102,13;0
183577;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;107,62;0
